Date/Time,TimeCounter,Temp
14-09-19 21:15,10,10.5
14-09-19 21:25,20,11
14-09-19 21:35,30,11
14-09-19 21:45,40,11
14-09-19 21:55,50,11
14-09-19 22:05,60,11
14-09-19 22:15,70,11
14-09-19 22:25,80,11
14-09-19 22:35,90,11.5
14-09-19 22:45,100,12.5
14-09-19 22:55,110,14.5
14-09-19 23:05,120,17.5
14-09-19 23:15,130,21
14-09-19 23:25,140,25.5
14-09-19 23:35,150,30.5
14-09-19 23:45,160,35
14-09-19 23:55,170,39
15-09-19 0:05,180,43
15-09-19 0:15,190,46.5
15-09-19 0:25,200,49.5
15-09-19 0:35,210,52
15-09-19 0:45,220,54.5
15-09-19 0:55,230,56.5
15-09-19 1:05,240,58.5
15-09-19 1:15,250,60
15-09-19 1:25,260,61.5
15-09-19 1:35,270,63
15-09-19 1:45,280,64
15-09-19 1:55,290,65.5
15-09-19 2:05,300,66.5
15-09-19 2:15,310,67.5
15-09-19 2:25,320,68.5
15-09-19 2:35,330,69.5
15-09-19 2:45,340,70.5
15-09-19 2:55,350,71.5
15-09-19 3:05,360,72
15-09-19 3:15,370,72.5
15-09-19 3:25,380,73.5
15-09-19 3:35,390,74
15-09-19 3:45,400,75
15-09-19 3:55,410,76
15-09-19 4:05,420,77.5
15-09-19 4:15,430,79
15-09-19 4:25,440,80.5
15-09-19 4:35,450,81.5
15-09-19 4:45,460,83
15-09-19 4:55,470,84
15-09-19 5:05,480,84.5
15-09-19 5:15,490,85
15-09-19 5:25,500,85
15-09-19 5:35,510,85
15-09-19 5:45,520,85
15-09-19 5:55,530,85
15-09-19 6:05,540,84.5
15-09-19 6:15,550,84
15-09-19 6:25,560,83.5
15-09-19 6:35,570,83.5
15-09-19 6:45,580,83
15-09-19 6:55,590,82.5
15-09-19 7:05,600,82.5
15-09-19 7:15,610,82
15-09-19 7:25,620,82
15-09-19 7:35,630,82
15-09-19 7:45,640,81.5
15-09-19 7:55,650,81.5
15-09-19 8:05,660,81.5
15-09-19 8:15,670,81
15-09-19 8:25,680,81
15-09-19 8:35,690,81
15-09-19 8:45,700,81
15-09-19 8:55,710,80.5
15-09-19 9:05,720,80.5
15-09-19 9:15,730,80.5
